1.539589977264404297e+01,1.538475894927978516e+01,1.538690567016601562e+01,1.544096851348876953e+01,1.552482032775878906e+01,1.558122348785400391e+01,1.558807849884033203e+01,1.561496162414550781e+01,1.568844890594482422e+01,1.576714992523193359e+01
1.539041709899902344e+01,1.541608142852783203e+01,1.547049331665039062e+01,1.548700904846191406e+01,1.551426601409912109e+01,1.558503723144531250e+01,1.565691566467285156e+01,1.572958183288574219e+01,1.577700901031494141e+01,1.578635120391845703e+01
1.538938713073730469e+01,1.541151809692382812e+01,1.548087310791015625e+01,1.555603599548339844e+01,1.558730411529541016e+01,1.559709835052490234e+01,1.565259552001953125e+01,1.572961139678955078e+01,1.580427742004394531e+01,1.586940670013427734e+01
1.544755744934082031e+01,1.552228450775146484e+01,1.557986164093017578e+01,1.559209632873535156e+01,1.562440586090087891e+01,1.567773628234863281e+01,1.569284915924072266e+01,1.573286628723144531e+01,1.578246307373046875e+01,1.579516220092773438e+01
1.549561405181884766e+01,1.552186775207519531e+01,1.557494926452636719e+01,1.559156322479248047e+01,1.562617206573486328e+01,1.567923736572265625e+01,1.569350242614746094e+01,1.573416709899902344e+01,1.578227329254150391e+01,1.579289340972900391e+01
1.555237960815429688e+01,1.559314155578613281e+01,1.559060478210449219e+01,1.558542537689208984e+01,1.562569046020507812e+01,1.567978096008300781e+01,1.569439125061035156e+01,1.573542690277099609e+01,1.578269767761230469e+01,1.579322242736816406e+01
1.548083877563476562e+01,1.551525497436523438e+01,1.557544231414794922e+01,1.559319400787353516e+01,1.562874698638916016e+01,1.568038558959960938e+01,1.569401073455810547e+01,1.573636245727539062e+01,1.578390121459960938e+01,1.579577922821044922e+01
1.549225044250488281e+01,1.552285385131835938e+01,1.557707786560058594e+01,1.559257316589355469e+01,1.563040161132812500e+01,1.568063735961914062e+01,1.569171810150146484e+01,1.573088264465332031e+01,1.581025981903076172e+01,1.587724971771240234e+01
1.549133682250976562e+01,1.552375507354736328e+01,1.557776641845703125e+01,1.559266376495361328e+01,1.563084411621093750e+01,1.568321228027343750e+01,1.569972133636474609e+01,1.573777484893798828e+01,1.581077957153320312e+01,1.587411117553710938e+01
1.549169063568115234e+01,1.552558898925781250e+01,1.557818222045898438e+01,1.559024238586425781e+01,1.562483215332031250e+01,1.570330619812011719e+01,1.577613258361816406e+01,1.580124473571777344e+01,1.582268810272216797e+01,1.587225341796875000e+01
